Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age,Price_Per_Year
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,12.5,True,False,False,True,False,13,0.96
Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,11.5,True,False,False,True,False,16,0.72
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,6.98,False,False,True,False,True,12,0.58
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,1.85,False,False,True,False,True,17,0.11
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,8.63,True,False,False,False,True,8,1.08
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,4.85,False,False,True,False,True,9,0.54
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,28.0,True,False,False,True,False,13,2.15
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,5.0,True,False,False,False,True,13,0.38
Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,1.25,False,False,True,False,True,18,0.07
Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,1.53,False,False,True,False,True,12,0.13
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,5.58,True,False,False,False,True,9,0.62
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,4.74,False,False,True,False,True,12,0.4
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,8.85,False,False,True,True,False,12,0.74
Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,10.11,False,False,True,True,False,10,1.01
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,4.25,True,False,False,False,True,18,0.24
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,10.95,False,False,True,False,True,14,0.78
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,3.85,True,False,False,False,True,12,0.32
Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,5.5,True,False,False,False,True,14,0.39
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,21.43,True,False,False,True,False,11,1.95
Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,4.25,True,False,False,False,True,12,0.35
Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,3.3,True,False,False,False,True,12,0.27
Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,3.85,True,False,False,False,True,13,0.3
Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,3.6,False,False,True,False,True,11,0.33
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,3.99,False,False,True,False,True,11,0.36
Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,3.3,False,False,True,False,True,9,0.37
Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,2.07,False,False,True,False,True,16,0.13
Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,7.75,True,False,False,True,False,16,0.48
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,2.25,False,False,True,False,True,16,0.14
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,16.5,True,False,False,False,True,9,1.83
Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,2.75,True,False,False,False,True,16,0.17
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,26.7,False,False,True,True,False,11,2.43
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,10.0,True,False,False,False,True,15,0.67
Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,2.5,True,False,False,False,True,10,0.25
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,13.5,True,False,False,True,False,14,0.96
Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,1.85,False,False,True,True,False,19,0.1
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,35.67,True,False,False,True,False,7,5.1
Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,8.15,True,False,False,False,True,10,0.82
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,10.5,True,False,False,False,True,8,1.31
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,14.5,False,False,True,True,False,18,0.81
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,9.65,True,False,False,False,True,11,0.88
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,3.48,False,False,True,True,False,14,0.25
Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,6.92,True,False,False,False,True,11,0.63
Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,6.46,False,False,True,True,False,10,0.65
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,29.5,True,False,False,True,False,12,2.46
Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,4.5,False,False,True,False,True,20,0.22
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,11.75,True,False,False,False,True,14,0.84
Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,3.75,True,False,False,False,True,14,0.27
Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,4.5,False,False,True,False,True,9,0.5
Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,4.82,False,False,True,False,True,10,0.48
Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,2.8,True,False,False,False,True,14,0.2
Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,3.11,True,False,False,False,True,13,0.24
Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,3.25,False,False,True,False,True,17,0.19
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,13.9,True,False,False,True,False,15,0.93
Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,2.25,False,False,True,False,True,17,0.13
Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,5.75,False,False,True,False,True,10,0.57
Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,5.0,False,False,True,False,True,10,0.5
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,16.5,True,False,False,False,True,12,1.38
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,39.58,True,False,False,True,False,8,4.95
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,5.5,True,False,False,False,True,13,0.42
Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,8.1,True,False,False,False,True,12,0.68
Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,3.5,True,False,False,False,True,11,0.32
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,2.79,True,False,False,False,True,13,0.21
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,3.45,True,False,False,False,True,16,0.22
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,4.45,False,False,True,False,True,10,0.44
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,2.65,False,False,True,False,True,16,0.17
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,3.8,True,False,False,False,True,15,0.25
Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,4.65,False,False,True,False,True,12,0.39
Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,3.95,False,False,True,False,True,9,0.44
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,9.8,True,False,False,True,False,16,0.61
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,2.7,False,False,True,False,True,17,0.16
Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,2.41,False,False,True,False,True,16,0.15
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,3.9,False,False,True,False,True,12,0.32
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,24.0,True,False,False,True,False,15,1.6
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,5.75,True,False,False,False,True,14,0.41
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,5.25,True,False,False,True,False,12,0.44
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,19.25,True,False,False,True,False,9,2.14
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,3.91,False,False,True,False,True,9,0.43
Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,2.15,False,False,True,False,True,12,0.18
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,20.75,True,False,False,True,False,11,1.89
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,3.35,False,False,True,False,True,16,0.21
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,11.11,True,False,False,False,True,12,0.93
Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,20.0,True,False,False,True,False,12,1.67
Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,6.55,False,False,True,True,False,10,0.66
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,7.0,False,False,True,True,False,17,0.41
Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,7.5,True,False,False,False,True,10,0.75
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,16.75,True,False,False,True,False,12,1.4
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,10.95,True,False,False,False,True,8,1.37
Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,2.45,False,False,True,False,True,15,0.16
Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,3.23,False,False,True,True,False,9,0.36
Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,7.75,True,False,False,False,True,12,0.65
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,9.35,False,False,True,True,False,17,0.55
Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,5.25,False,False,True,False,True,19,0.28
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,7.25,True,False,False,True,False,11,0.66
Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,7.47,False,False,True,False,True,9,0.83
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,13.25,True,False,False,True,False,10,1.32
Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,5.81,False,False,True,False,True,10,0.58
Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,2.6,False,False,True,False,True,12,0.22
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,54.0,False,False,True,True,False,9,6.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,11.5,False,False,True,True,False,7,1.64
Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,1.6,False,False,True,False,True,16,0.1
BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,17.22,True,False,False,True,False,11,1.57
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,6.0,False,False,True,True,False,11,0.55
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,3.95,False,False,True,False,True,14,0.28
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,17.95,True,False,False,True,False,12,1.5
Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,3.7,True,False,False,False,True,12,0.31
Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,5.43,False,False,True,False,True,10,0.54
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,13.49,True,False,False,False,True,14,0.96
Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,2.85,False,False,True,False,True,12,0.24
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,4.75,True,False,False,False,True,13,0.37
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,9.9,False,False,True,False,True,8,1.24
Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,37.0,False,False,True,True,False,13,2.85
BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,26.5,True,False,False,True,False,12,2.21
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,23.32,True,False,False,True,False,11,2.12
Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,6.25,True,False,False,False,True,10,0.62
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,30.0,False,False,True,True,False,16,1.88
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,9.86,True,False,False,True,False,10,0.99
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,8.5,True,False,False,True,False,14,0.61
Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,4.23,False,False,True,False,True,7,0.6
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,3.5,True,False,False,False,True,14,0.25
Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,2.5,False,False,True,False,True,10,0.25
Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,2.39,False,False,True,False,True,13,0.18
Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,11.25,False,False,True,True,False,13,0.87
Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,7.11,True,False,False,False,True,11,0.65
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,10.9,True,False,False,False,True,10,1.09
Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,6.2,False,False,True,False,True,9,0.69
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,7.9,True,False,False,False,True,14,0.56
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,4.42,True,False,False,False,True,12,0.37
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,13.5,True,False,False,False,True,14,0.96
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,6.25,True,False,False,True,False,13,0.48
Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,2.1,True,False,False,False,True,16,0.13
BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,45.0,True,False,False,True,False,11,4.09
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,33.66,True,False,False,True,False,9,3.74
Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,3.65,False,False,True,False,True,14,0.26
Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,2.75,False,False,True,False,True,13,0.21
Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,170.0,5.0,42.5,True,False,False,True,False,10,4.25
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,6.5,False,False,True,False,True,7,0.93
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,19.0,True,False,False,True,False,14,1.36
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,4.45,False,False,True,True,False,13,0.34
Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,112.0,5.0,23.0,True,False,False,True,False,9,2.56
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,8.35,True,False,False,False,True,12,0.7
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,22.95,True,False,False,True,False,12,1.91
Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,1.5,True,False,False,False,True,14,0.11
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,6.89,False,False,True,True,False,14,0.49
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,68.0,5.0,1.45,True,False,False,False,True,20,0.07
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,33.5,True,False,False,True,False,12,2.79
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,1.25,False,False,True,False,True,19,0.07
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,4.2,True,False,False,False,True,14,0.3
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,19.98,1461.0,108.5,8.0,6.75,True,False,False,False,True,11,0.61
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,First,13.0,2143.0,201.1,5.0,32.0,True,False,False,True,False,12,2.67
Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197.0,83.1,5.0,7.5,False,False,True,False,True,9,0.83
Hyundai Verna 1.6 SX,Delhi,2012,62000,First,22.32,1582.0,126.32,5.0,4.6,True,False,False,False,True,14,0.33
Hyundai i10 Magna 1.1,Kochi,2017,52340,First,19.81,1086.0,68.05,5.0,4.04,False,False,True,False,True,9,0.45
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,First,15.4,1997.0,120.0,7.0,10.31,True,False,False,False,True,10,1.03
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,First,12.7,2179.0,187.7,5.0,55.76,True,False,False,True,False,8,6.97
Ford Figo Diesel ZXI,Chennai,2010,120000,First,20.0,1399.0,68.0,5.0,2.6,True,False,False,False,True,16,0.16
Maruti Ertiga ZDI,Mumbai,2016,33000,First,25.47,1248.0,88.5,7.0,8.5,True,False,False,False,True,10,0.85
Honda City 1.5 GXI,Ahmedabad,2007,60006,First,0.0,1497.0,98.6,5.0,2.95,False,False,True,False,True,19,0.16
Honda Amaze S i-Dtech,Kolkata,2014,52000,First,25.8,1498.0,98.6,5.0,3.5,True,False,False,False,True,12,0.29
Hyundai i10 Magna,Jaipur,2015,43571,First,20.36,1197.0,78.9,5.0,3.55,False,False,True,False,True,11,0.32
Honda Amaze S i-Dtech,Kolkata,2013,50000,First,25.8,1498.0,98.6,5.0,3.25,True,False,False,False,True,13,0.25
Skoda Laura Ambiente,Hyderabad,2008,113000,First,17.5,1896.0,106.0,5.0,4.5,True,False,False,False,True,18,0.25
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,First,19.87,1461.0,83.8,5.0,5.35,True,False,False,False,True,12,0.45
Mahindra NuvoSport N6,Chennai,2017,29000,Second,17.45,1493.0,100.0,7.0,6.5,True,False,False,False,True,9,0.72
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,24.3,1248.0,88.5,5.0,9.0,True,False,False,False,True,10,0.9
Hyundai i20 Asta Option 1.2,Kochi,2016,61012,First,18.6,1197.0,81.83,5.0,6.0,False,False,True,False,True,10,0.6
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,First,14.7,1390.0,85.0,5.0,2.75,False,False,True,False,True,17,0.16
Tata Indigo eCS GLX,Pune,2010,70500,First,15.64,1193.0,64.1,5.0,1.5,False,False,True,False,True,16,0.09
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,First,15.73,1968.0,174.33,5.0,19.9,True,False,False,True,False,11,1.81
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,First,14.7,1798.0,177.5,5.0,10.0,False,False,True,True,False,12,0.83
